id,target_group,date,description,display_name,news_link,location,title_en,participants,title_th
7RlnzfjxyxYTH0ajcVQK,ผู้ต้องขังในเรือนจำ,2025-06-16,"ปัจจุบันมีผู้ต้องขังทั้งประเทศอยู่ราว 280,000 คน ประเทศไทย และเป็นผู้ต้องขังระหว่างการสืบสวนสอบสวนหรือรอคำพิพากษา ประมาณร้อยละ 20 ของผู้ต้องขังทั้งหมด แม้ผู้ที่ถูกคุมขังเหล่านี้ไม่มีสิทธิเลือกตั้งตามรัฐธรรมนูญ แต่พวกเขาควรมีสิทธินำเสนอความคิดเห็นเกี่ยวกับเนื้อหาในรัฐธรรมนูญ ซึ่งอาจมีบทบาทกำหนดกฎกติกาที่เป็นธรรมยิ่งขึ้นในอนาคต และอาจช่วยส่งเสริมคุณภาพชีวิต ทั้งภายในเรือนจำและในสังคมภายนอกที่พวกเขาจะได้ก้าวออกไปในวันหนึ่ง",Prisoners' DreamCon (เรือนจำกลางนครราชสีมา),https://www.facebook.com/share/p/1C1g7cQe1V/,เรือนจำกลางนครราชสีมา,Dream Constitution for Future of Freedom (เรือนจำกลางนครราชสีมา),30,-
AkUH6sty9Lv2WuTTXRD9,ผู้ต้องขังในเรือนจำ ทั้งที่อยู่ระหว่างพิจารณาคดี และอยู่ในช่วงเตรียมความพร้อมก่อนปล่อย,2025-11-03,"ปัจจุบันมีผู้ต้องขังทั้งประเทศอยู่ราว 280,000 คน ประเทศไทย และเป็นผู้ต้องขังระหว่างการสืบสวนสอบสวนหรือรอคำพิพากษา ประมาณร้อยละ 20 ของผู้ต้องขังทั้งหมด แม้ผู้ที่ถูกคุมขังเหล่านี้ไม่มีสิทธิเลือกตั้งตามรัฐธรรมนูญ แต่พวกเขาควรมีสิทธินำเสนอความคิดเห็นเกี่ยวกับเนื้อหาในรัฐธรรมนูญ ซึ่งอาจมีบทบาทกำหนดกฎกติกาที่เป็นธรรมยิ่งขึ้นในอนาคต และอาจช่วยส่งเสริมคุณภาพชีวิต ทั้งภายในเรือนจำและในสังคมภายนอกที่พวกเขาจะได้ก้าวออกไปในวันหนึ่ง",Prisoners' DreamCon (เรือนจำพิเศษธนบุรี),-,เรือนจำพิเศษธนบุรี,DreamCon for Future of Freedom (เรือนจำพิเศษธนบุรี),30,-
FLuzAE5dm4qazOoE4QaF,ประชาชนที่สนใจประเด็นการแก้ไขรัฐธรรมนูญ สื่อมวลชน นักวิชาการ สมาชิกรัฐสภา กลุ่มเคลื่อนไหวเรื่องรัฐธรรมนูญ,2024-12-03,วงเสวนาสาธารณะเพื่อเปิดประเด็น ‘ที่มาและอำนาจของ สสร.’ เพื่อให้เราได้ช่วยกันคิดและแสดงความคิดเห็นเตรียมการเอาไว้ ในขณะที่เส้นทางสู่รัฐธรรมนูญที่มาจากประชาชนยังต้องใช้เวลาอีกยาวไกล แต่การได้แลกเปลี่ยนบทสนทนาและสร้างความเข้าใจร่วมกันถือเป็นหัวใจสำคัญของการก่อร่างของ สสร. และเนื้อหาภายในรัฐธรรมนูญ,Dream Con x The Active,https://www.facebook.com/share/p/1AoQGXiJZS/,องค์การกระจายเสียงและแพร่ภาพสาธารณะแห่งประเทศไทย (ThaiPBS),Dream Con: Conversations for Constitution,40,ร้อยเหตุผล ร่วมสนทนา ร่างรัฐธรรมนูญของประชาชน
HTmIYhVrz22i3PjxdS0h,ผู้ต้องขังในเรือนจำ ทั้งที่อยู่ระหว่างพิจารณาคดี และอยู่ในช่วงเตรียมความพร้อมก่อนปล่อย,2025-07-21,"ปัจจุบันมีผู้ต้องขังทั้งประเทศอยู่ราว 280,000 คน ประเทศไทย และเป็นผู้ต้องขังระหว่างการสืบสวนสอบสวนหรือรอคำพิพากษา ประมาณร้อยละ 20 ของผู้ต้องขังทั้งหมด แม้ผู้ที่ถูกคุมขังเหล่านี้ไม่มีสิทธิเลือกตั้งตามรัฐธรรมนูญ แต่พวกเขาควรมีสิทธินำเสนอความคิดเห็นเกี่ยวกับเนื้อหาในรัฐธรรมนูญ ซึ่งอาจมีบทบาทกำหนดกฎกติกาที่เป็นธรรมยิ่งขึ้นในอนาคต และอาจช่วยส่งเสริมคุณภาพชีวิต ทั้งภายในเรือนจำและในสังคมภายนอกที่พวกเขาจะได้ก้าวออกไปในวันหนึ่ง",Prisoners' DreamCon (เรือนจำกลางเชียงใหม่),https://www.facebook.com/share/p/1C1g7cQe1V/,เรือนจำกลางเชียงใหม่,Dream Constitution for Future of Freedom (เรือนจำกลางเชียงใหม่),30,-
OiKFo7nNy4gsLARMI6zP,เยาวชนอายุ 15-25 ปี ทั้งในกรุงเทพฯ และต่างจังหวัด,2025-02-08,เยาวชนควรมีส่วนขบคิดและร่วมออกแบบรัฐธรรมนูญ เพื่อกำหนดหน้าตาของอนาคตประเทศไทยที่พวกเขาจะต้องใช้ชีวิตอยู่ร่วมกับคนอีกหลากหลายวัย กิจกรรมนี้จึงเป็นการเชิญชวนให้เยาวชนได้มีโอกาสก้าวเข้ามาเพื่อริเริ่มวงสนทนาว่าด้วยรัฐธรรมนูญด้วยตัวเองร่วมกับเพื่อนๆ ในวัยเดียวกัน ตั้งประเด็นชวนคิด แสดงความต้องการในมุมของตนเอง พร้อมถกความเป็นไปได้ต่างๆ ที่หลากหลาย เป็นเสมือนบันไดขั้นแรกในการเตรียมความพร้อมทั้งด้านเนื้อหาและประสบการณ์เพื่อนำไปสื่อสารกับคนกลุ่มอื่นๆ ในสังคมต่อไป,TIJ Youth Dialogue,https://www.facebook.com/share/p/1CQiafxHMS/,สถาบันเพื่อการยุติธรรมแห่งประเทศไทย (TIJ),Youth Dialogue on Dream Constitution,50,เติมจินตนาการ ต่อความฝันให้ประเทศไทย
Ri7THJYVq8VeyDjrJZS8,นักเรียน นักศึกษา นักกิจกรรม และประชาชนทั่วไปที่สนใจ,2025-06-30,"เยาวชนคนรุ่นใหม่มารวมตัวกันเพื่อร่วมออกแบบ ""รัฐธรรมนูญในฝัน"" ที่สะท้อนความหวังของพวกเขาต่อประเทศไทยที่ดีขึ้น ผ่านกิจกรรมแลกเปลี่ยนความคิดเห็น ที่เปิดโอกาสให้ทุกคนได้แสดงความคิดสร้างสรรค์ และมองหากติการ่วมกัน ""เพราะเสียงของทุกคนมีความหมายเสมอ ในการกำหนดอนาคตของประเทศไทย""",DreamCon x TU,https://www.freiheit.org/th/thailand/esiiyngeyawchnwadwyraththrrmnuuyinfan-srangsangkhmaelaraththrrmnuuyinxudmkhtirwmkan,มหาวิทยาลัยธรรมศาสตร์,Dream Constitution of the Youth (Thammasat University),60,Dream Constitution รัฐธรรมนูญในฝันของเยาวชน (มหาวิทยาลัยธรรมศาสตร์)
XtVckzGBhhXrczpk2wBW,ผู้ต้องขังในเรือนจำ ทั้งที่อยู่ระหว่างพิจารณาคดี และอยู่ในช่วงเตรียมความพร้อมก่อนปล่อย,2025-07-25,"ปัจจุบันมีผู้ต้องขังทั้งประเทศอยู่ราว 280,000 คน ประเทศไทย และเป็นผู้ต้องขังระหว่างการสืบสวนสอบสวนหรือรอคำพิพากษา ประมาณร้อยละ 20 ของผู้ต้องขังทั้งหมด แม้ผู้ที่ถูกคุมขังเหล่านี้ไม่มีสิทธิเลือกตั้งตามรัฐธรรมนูญ แต่พวกเขาควรมีสิทธินำเสนอความคิดเห็นเกี่ยวกับเนื้อหาในรัฐธรรมนูญ ซึ่งอาจมีบทบาทกำหนดกฎกติกาที่เป็นธรรมยิ่งขึ้นในอนาคต และอาจช่วยส่งเสริมคุณภาพชีวิต ทั้งภายในเรือนจำและในสังคมภายนอกที่พวกเขาจะได้ก้าวออกไปในวันหนึ่ง",Prisoners' DreamCon (เรือนจำอำเภอไชยา),https://www.facebook.com/share/p/1C1g7cQe1V/,เรือนจำอำเภอไชยา,DreamCon for Future of Freedom (เรือนจำอำเภอไชยา),30,-
ZeztgNNzU3DbAZNdVQbt,ผู้ต้องขังในเรือนจำ,2025-05-29,"ปัจจุบันมีผู้ต้องขังทั้งประเทศอยู่ราว 280,000 คน ประเทศไทย และเป็นผู้ต้องขังระหว่างการสืบสวนสอบสวนหรือรอคำพิพากษา ประมาณร้อยละ 20 ของผู้ต้องขังทั้งหมด แม้ผู้ที่ถูกคุมขังเหล่านี้ไม่มีสิทธิเลือกตั้งตามรัฐธรรมนูญ แต่พวกเขาควรมีสิทธินำเสนอความคิดเห็นเกี่ยวกับเนื้อหาในรัฐธรรมนูญ ซึ่งอาจมีบทบาทกำหนดกฎกติกาที่เป็นธรรมยิ่งขึ้นในอนาคต และอาจช่วยส่งเสริมคุณภาพชีวิต ทั้งภายในเรือนจำและในสังคมภายนอกที่พวกเขาจะได้ก้าวออกไปในวันหนึ่ง",Prisoners' DreamCon (ทัณฑสถานหญิงธนบุรี),https://www.facebook.com/share/p/1C1g7cQe1V/,ทัณฑสถานหญิงธนบุรี,Dream Constitution for Future of Freedom (ทัณฑสถานหญิงธนบุรี),33,-
ah0Io8qTy2I6RjsTHTeS,ผู้ต้องขังในเรือนจำ  ทั้งที่อยู่ระหว่างพิจารณาคดี และอยู่ในช่วงเตรียมความพร้อมก่อนปล่อย,2025-07-23,"ปัจจุบันมีผู้ต้องขังทั้งประเทศอยู่ราว 280,000 คน ประเทศไทย และเป็นผู้ต้องขังระหว่างการสืบสวนสอบสวนหรือรอคำพิพากษา ประมาณร้อยละ 20 ของผู้ต้องขังทั้งหมด แม้ผู้ที่ถูกคุมขังเหล่านี้ไม่มีสิทธิเลือกตั้งตามรัฐธรรมนูญ แต่พวกเขาควรมีสิทธินำเสนอความคิดเห็นเกี่ยวกับเนื้อหาในรัฐธรรมนูญ ซึ่งอาจมีบทบาทกำหนดกฎกติกาที่เป็นธรรมยิ่งขึ้นในอนาคต และอาจช่วยส่งเสริมคุณภาพชีวิต ทั้งภายในเรือนจำและในสังคมภายนอกที่พวกเขาจะได้ก้าวออกไปในวันหนึ่ง",Prisoners' DreamCon (ทัณฑสถานหญิงสงขลา),https://www.facebook.com/share/p/1C1g7cQe1V/,ทัณฑสถานหญิงสงขลา,Dream Con for Future of Freedom (ทัณฑสถานหญิงสงขลา),30,-
vXyzxEkaeEFoAcKQEeia,ผู้ต้องขังในเรือนจำ  ทั้งที่อยู่ระหว่างพิจารณาคดี และอยู่ในช่วงเตรียมความพร้อมก่อนปล่อย,2025-07-22,"ปัจจุบันมีผู้ต้องขังทั้งประเทศอยู่ราว 280,000 คน ประเทศไทย และเป็นผู้ต้องขังระหว่างการสืบสวนสอบสวนหรือรอคำพิพากษา ประมาณร้อยละ 20 ของผู้ต้องขังทั้งหมด แม้ผู้ที่ถูกคุมขังเหล่านี้ไม่มีสิทธิเลือกตั้งตามรัฐธรรมนูญ แต่พวกเขาควรมีสิทธินำเสนอความคิดเห็นเกี่ยวกับเนื้อหาในรัฐธรรมนูญ ซึ่งอาจมีบทบาทกำหนดกฎกติกาที่เป็นธรรมยิ่งขึ้นในอนาคต และอาจช่วยส่งเสริมคุณภาพชีวิต ทั้งภายในเรือนจำและในสังคมภายนอกที่พวกเขาจะได้ก้าวออกไปในวันหนึ่ง",Prisoners' DreamCon (ทัณฑสถานหญิงเชียงใหม่),https://www.facebook.com/share/p/1C1g7cQe1V/,ทัณฑสถานหญิงเชียงใหม่,Dream Con for Future of Freedom (ทัณฑสถานหญิงเชียงใหม่),30,-
